t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,56689
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54900.199999999997
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55187
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:30:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55124.866666666669
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:35:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55823.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:40:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54710.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:45:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54640.599999999999
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:50:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,56799.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:55:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54180.933333333334
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:00:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,59532
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:05:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54185
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:10:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,53407.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:15:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54627.533333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:20:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,55135.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55465.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:30:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55000.199999999997
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:35:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54390
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:40:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,56310.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:45:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54195.666666666664
